"left"	"op"	"right"	"expected_class"	"actual_class"	"truth_ok"	"class_ok"	"warnings"	"error"
"atom"	"&"	"atom"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"atom"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"clause"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfClause\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"clause"	"CnfClause"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfClause\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"atom"	"&"	"formula"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfFormula\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"formula"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfFormula\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"atom"	"&"	"raw_true"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"raw_true"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"raw_false"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"raw_false"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfAtom_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfAtom_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfAtom_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfAtom_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfAtom_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfAtom_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfAtom_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"atom"	"|"	"CnfAtom_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"atom"	"&"	"CnfClause_FALSE_free"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfClause\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"CnfClause_FALSE_free"	"CnfClause"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfClause\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"atom"	"&"	"CnfClause_FALSE_owned"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfClause\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"CnfClause_FALSE_owned"	"CnfClause"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfClause\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"atom"	"&"	"CnfClause_TRUE_free"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfClause\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"CnfClause_TRUE_free"	"CnfClause"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfClause\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"atom"	"&"	"CnfClause_TRUE_owned"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfClause\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"CnfClause_TRUE_owned"	"CnfClause"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfClause\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"atom"	"&"	"CnfFormula_FALSE_free"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfFormula\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"CnfFormula_FALSE_free"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfFormula\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"atom"	"&"	"CnfFormula_FALSE_owned"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfFormula\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"CnfFormula_FALSE_owned"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfFormula\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"atom"	"&"	"CnfFormula_TRUE_free"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfFormula\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"CnfFormula_TRUE_free"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfFormula\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"atom"	"&"	"CnfFormula_TRUE_owned"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfAtom\", \"&.CnfFormula\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"atom"	"|"	"CnfFormula_TRUE_owned"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfAtom\", \"|.CnfFormula\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"clause"	"&"	"atom"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfClause\", \"&.CnfAtom\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"clause"	"|"	"atom"	"CnfClause"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfClause\", \"|.CnfAtom\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"clause"	"&"	"clause"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"clause"	"|"	"clause"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"clause"	"&"	"formula"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"&.CnfClause\", \"&.CnfFormula\") for \"&\""	"operations are possible only for numeric, logical or complex types"
"clause"	"|"	"formula"	"CnfFormula"	NA	FALSE	FALSE	"Incompatible methods (\"|.CnfClause\", \"|.CnfFormula\") for \"|\""	"operations are possible only for numeric, logical or complex types"
"clause"	"&"	"raw_true"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
