"id"	"line"	"column"	"owner"	"condition"	"false"	"true"
66	427	9	"handle_sse_2nd_order_twoend"	"not_subset_count[meta_idx, meta_idx_target] != 2 || !all(is_not_subset_of[[meta_idx]][meta_idx_target, inso_symbols_cols])"	3299658	262
67	431	9	"handle_sse_2nd_order_twoend"	"eliminated[[clause_idx_oneend]] || is_unit[[clause_idx_oneend]]"	3298832	826
68	437	9	"handle_sse_2nd_order_twoend"	"not_subset_count[meta_idx_oneend, meta_idx_target] != sum(is_not_subset_of[[meta_idx_oneend]][meta_idx_target, symbols_twoend_idx])"	1380321	1918511
69	440	9	"handle_sse_2nd_order_twoend"	"!symbol_other %in% names(entries[[clause_idx_target]])"	1369766	10555
70	442	9	"handle_sse_2nd_order_twoend"	"identical(ts2o, TRUE)"	1369404	362
71	443	9	"handle_sse_2nd_order_twoend"	"eliminated[[clause_idx]] || is_unit[[clause_idx]]"	1366931	2473
72	444	9	"handle_sse_2nd_order_twoend"	"is.null(ts2o)"	1362007	4924
73	453	5	"try_sse_2nd_order"	"!all(is_not_subset_of[[meta_idx_target]][c(meta_idx_oneend, meta_idx_twoends), symbol_target])"	898134	602227
74	463	5	"try_sse_2nd_order"	"any(clause_oneend_symbol_intersect %in% clause_twoends[[symbol_intersect]] & !clause_oneend_symbol_intersect %in% entries[[idx_target]][[symbol_intersect]])"	60883	837251
75	473	5	"eliminate_clause_update_sr"	"is_unit[[clause_idx]]"	240396	0
76	487	5	"simplify_cnf"	"register_unit(unit_idx)"	51408	4176
77	491	3	"simplify_cnf"	"length(unit_queue) == length(entries)"	25820	34
78	507	7	"simplify_cnf"	"is.null(adr)"	49109	54213
79	508	7	"simplify_cnf"	"adr"	48389	720
80	511	5	"simplify_cnf"	"eliminated[[clause_idx]] || is_unit[[clause_idx]]"	420640	54213
81	517	7	"simplify_cnf"	"is.null(sr_entry)"	1137157	103581
82	553	5	"simplify_cnf"	"eliminated[[clause_idx]] || is_unit[[clause_idx]]"	274786	75611
83	575	7	"simplify_cnf"	"eliminated[[clause_idx_inner]] || is_unit[[clause_idx_inner]]"	1553004	514986
84	596	9	"simplify_cnf"	"inner_subset_of_outer"	1528456	662972
85	602	9	"simplify_cnf"	"outer_subset_of_inner"	1534703	656725
86	611	7	"simplify_cnf"	"rowsum <= 1"	1146648	406356
87	613	9	"simplify_cnf"	"is.null(ousr)"	356459	49897
88	614	9	"simplify_cnf"	"ousr"	353965	2494
89	615	9	"simplify_cnf"	"eliminated[[clause_idx_inner]] || is_unit[[clause_idx_inner]]"	347808	6157
90	619	7	"simplify_cnf"	"rowsum <= 1"	1323972	170484
91	621	9	"simplify_cnf"	"identical(ousr, TRUE)"	169777	707
92	622	9	"simplify_cnf"	"eliminated[[clause_idx]] || is_unit[[clause_idx]]"	168965	812
93	623	9	"simplify_cnf"	"is.null(ousr)"	158189	10776
94	644	5	"simplify_cnf"	"eliminated[[available[[meta_idx]]]] || is_unit[[available[[meta_idx]]]] || eliminated[[available[[meta_idx_other]]]] || is_unit[[available[[meta_idx_other]]]]"	664122	310910
95	646	5	"simplify_cnf"	"identical(on_updated_subset_relations(meta_idx, meta_idx_other, TRUE), TRUE)"	663950	172
96	659	28	"simplify_cnf"	"length(unit_domains)"	4452	17275
97	687	7	"simplify_cnf"	"is.na(hla_clause_idx)"	294721	103653
98	694	7	"simplify_cnf"	"length(range_new) == length(universe[[symbol]])"	294721	0
99	707	9	"simplify_cnf"	"is_not_subset_of[[updating_clause_meta_idx]][meta_idx, symbol] && all(entries[[available[[updating_clause_meta_idx]]]][[symbol]] %in% range_new)"	1570316	286564
100	712	11	"simplify_cnf"	"not_subset_count_current[[roe_idx]] == 0L"	271726	14838
101	720	7	"simplify_cnf"	"eliminated[[clause_idx]]"	279883	14838
102	746	7	"simplify_cnf"	"is.na(hla_clause_idx)"	37748	41713
103	749	7	"simplify_cnf"	"is.null(is_not_subset_of_unit[[hla_clause_idx]])"	19111	18637
104	756	7	"simplify_cnf"	"length(range_new) == length(universe[[symbol]])"	37748	0
105	765	9	"simplify_cnf"	"is.null(is_not_subset_of_unit[[updating_hla_clause_idx]])"	93516	50937
106	771	9	"simplify_cnf"	"is_not_subset_of_unit[[updating_hla_clause_idx]][[symbol]] && all(entries[[updating_clause_idx]][[symbol]] %in% range_new)"	111137	33316
107	775	11	"simplify_cnf"	"not_subset_count[[updating_hla_clause_idx]] == 0"	28315	5001
108	782	7	"simplify_cnf"	"eliminated[[clause_idx]]"	32747	5001
