libkeyutils1:amd64	1.6.3-6+b2
libkrb5-3:amd64	1.22.1-3
libkrb5support0:amd64	1.22.1-3
liblapack-dev:amd64	3.12.1-7+b2
liblapack3:amd64	3.12.1-7+b2
libldap2:amd64	2.6.13+dfsg-1
liblerc4:amd64	4.1.0+ds-1
libllhttp9.4:amd64	9.4.3+~cs12.11.9-2
liblsan0:amd64	16.1.0-2
liblua5.4-0:amd64	5.4.9-1
liblz4-1:amd64	1.10.0-10
liblzma-dev:amd64	5.8.3-1
liblzma5:amd64	5.8.3-1
libmd0:amd64	1.2.0-2
libmount1:amd64	2.42.1-3
libmpc3:amd64	1.3.1-3
libmpfr6:amd64	4.2.2-3
libncurses-dev:amd64	6.6+20251231-1+b1
libncurses6:amd64	6.6+20251231-1+b1
libncursesw6:amd64	6.6+20251231-1+b1
libnettle8t64:amd64	3.10.2-1+b1
libnghttp2-14:amd64	1.69.0-1
libnghttp3-9:amd64	1.15.0-1
libngtcp2-16:amd64	1.24.0-1
libngtcp2-crypto-gnutls8:amd64	1.24.0-1
libngtcp2-crypto-ossl0:amd64	1.24.0-1
libnuma1:amd64	2.0.19-1+b2
libopenblas0-pthread:amd64	0.3.33+ds-3
libp11-kit0:amd64	0.26.2-3
libpam-modules:amd64	1.7.0-6
libpam-modules-bin	1.7.0-6
libpam-runtime	1.7.0-6
libpam0g:amd64	1.7.0-6
libpango-1.0-0:amd64	1.57.1-2
libpangocairo-1.0-0:amd64	1.57.1-2
libpangoft2-1.0-0:amd64	1.57.1-2
libpaper-utils	2.2.5-0.4
libpaper2:amd64	2.2.5-0.4
libpcre2-16-0:amd64	10.46-1+b2
libpcre2-32-0:amd64	10.46-1+b2
libpcre2-8-0:amd64	10.46-1+b2
libpcre2-dev:amd64	10.46-1+b2
libpcre2-posix3:amd64	10.46-1+b2
libperl5.40:amd64	5.40.1-8
libpixman-1-0:amd64	0.46.4-1+b2
libpkgconf7:amd64	2.5.1-4
libpng-dev:amd64	1.6.58-1
libpng16-16t64:amd64	1.6.58-1
libproc2-0:amd64	2:4.0.4-9+b2
libpsl5t64:amd64	0.21.5-1
libquadmath0:amd64	16.1.0-2
libreadline-dev:amd64	8.3-4
libreadline8t64:amd64	8.3-4
libsasl2-2:amd64	2.1.28+dfsg1-11
libsasl2-modules-db:amd64	2.1.28+dfsg1-11
libseccomp2:amd64	2.6.0-2+b1
libselinux1:amd64	3.10-1
libsemanage-common	3.10-1
libsemanage2:amd64	3.10-1
libsepol2:amd64	3.10-1
libsframe3:amd64	2.46.50.20260617-1
libsharpyuv0:amd64	1.5.0-0.1+b2
libsm6:amd64	2:1.2.6-1+b2
libsmartcols1:amd64	2.42.1-3
libssh2-1t64:amd64	1.11.1-3
libssl3t64:amd64	3.6.3-1
libstdc++-15-dev:amd64	15.3.0-1
libstdc++6:amd64	16.1.0-2
libsystemd0:amd64	260.1-1
libtasn1-6:amd64	4.21.0-2+b1
libtcl8.6:amd64	8.6.18+dfsg-1
libtext-charwidth-perl:amd64	0.04-12
libtext-wrapi18n-perl	0.06-11
libthai-data	0.1.30-1
libthai0:amd64	0.1.30-1+b1
libtiff6:amd64	4.7.1-3
libtinfo6:amd64	6.6+20251231-1+b1
libtirpc-common	1.3.7+ds-1
libtirpc-dev:amd64	1.3.7+ds-1
libtirpc3t64:amd64	1.3.7+ds-1
libtk8.6:amd64	8.6.18-1
libtsan2:amd64	16.1.0-2
libubsan1:amd64	16.1.0-2
libudev1:amd64	260.1-1
libunistring5:amd64	1.4.2-1
libuuid1:amd64	2.42.1-3
libuv1t64:amd64	1.52.1-4
libwebp7:amd64	1.5.0-0.1+b2
libwebpmux3:amd64	1.5.0-0.1+b2
libx11-6:amd64	2:1.8.13-1
libx11-data	2:1.8.13-1
libxau6:amd64	1:1.0.11-1+b2
libxcb-render0:amd64	1.17.0-2+b2
libxcb-shm0:amd64	1.17.0-2+b2
libxcb1:amd64	1.17.0-2+b2
libxdmcp6:amd64	1:1.1.5-2+b1
libxext6:amd64	2:1.3.4-1+b4
libxft2:amd64	2.3.6-1+b5
libxml2-16:amd64	2.15.3+dfsg-1+b1
libxmuu1:amd64	2:1.1.3-4+b1
libxrender1:amd64	1:0.9.12-1+b2
libxss1:amd64	1:1.2.3-1+b4
libxt6t64:amd64	1:1.2.1-1.3+b2
libxxhash0:amd64	0.8.3-2+b2
libyaml-0-2:amd64	0.2.5-2+b1
libzstd-dev:amd64	1.5.7+dfsg-3+b2
libzstd1:amd64	1.5.7+dfsg-3+b2
linux-libc-dev	7.0.13-1
littler	0.3.23-1
locales	2.43-4
login	1:4.16.0-2+really2.42.1-3
login.defs	1:4.19.3-2
make	4.4.1-3
mawk	1.3.4.20260302-1
mount	2.42.1-3
ncurses-base	6.6+20251231-1
ncurses-bin	6.6+20251231-1+b1
node-bootstrap-sass	3.4.3-2
node-html5shiv	3.7.3+dfsg-5
node-normalize.css	8.0.1-5.1
openssl	3.6.3-1
openssl-provider-legacy	3.6.3-1
pandoc	3.10.2-1
pandoc-data	3.10.2-1
passwd	1:4.19.3-2
patch	2.8-2
perl	5.40.1-8
perl-base	5.40.1-8
perl-modules-5.40	5.40.1-8
pkgconf:amd64	2.5.1-4
pkgconf-bin	2.5.1-4
procps	2:4.0.4-9+b2
r-base	4.6.1-1
r-base-core	4.6.1-1
r-base-dev	4.6.1-1
r-cran-askpass	1.2.1-3
r-cran-base64enc	0.1-6-2
r-cran-boot	1.3-32-1
r-cran-brew	1.0-10-2
r-cran-brio	1.1.5-3
r-cran-bslib	0.10.0+dfsg-1
r-cran-cachem	1.1.0-3
r-cran-callr	3.8.0-1
r-cran-class	7.3-23-1
r-cran-cli	3.6.6-1
r-cran-clipr	0.8.1-1
r-cran-cluster	2.1.8.2-1
r-cran-codetools	0.2-20-1
r-cran-commonmark	2.0.0-3
r-cran-cpp11	0.5.5-1
r-cran-crayon	1.5.3-2
r-cran-credentials	2.0.3-1
r-cran-curl	7.1.0+dfsg-2
r-cran-desc	1.4.3-2
r-cran-devtools	2.4.6-2
r-cran-diffobj	0.3.6-2
r-cran-digest	0.6.39-1
r-cran-docopt	0.7.2-1
r-cran-downlit	0.4.5-2
r-cran-ellipsis	0.3.3-1
r-cran-evaluate	1.0.5-3
r-cran-fansi	1.0.7-2
r-cran-fastmap	1.2.0-3
r-cran-fontawesome	0.5.3-2
r-cran-foreign	0.8.91-1
r-cran-fs	2.1.0+dfsg-1
r-cran-gert	2.4.1+dfsg-1
r-cran-gh	1.6.1-1
r-cran-gitcreds	0.1.2-2
r-cran-glue	1.8.1-2
r-cran-highr	0.12+dfsg-1
r-cran-htmltools	0.5.9-2
r-cran-htmlwidgets	1.6.4+dfsg-2
r-cran-httpuv	1.6.16+dfsg-1
r-cran-httr2	1.3.0-1
r-cran-ini	0.3.1-3
r-cran-jquerylib	0.1.4+dfsg-6
r-cran-jsonlite	2.0.0+dfsg-2
r-cran-kernsmooth	2.23-26-1
r-cran-knitr	1.51+dfsg-2
r-cran-later	1.4.8+dfsg-3
r-cran-lattice	0.22-9-1
r-cran-lifecycle	1.0.5+dfsg-1
r-cran-littler	0.3.23-1
r-cran-magrittr	2.0.5-1
r-cran-mass	7.3-65-1
r-cran-matrix	1.7-5-1
r-cran-memoise	2.0.1-2
r-cran-mgcv	1.9-4-1
r-cran-mime	0.13-2
r-cran-miniui	0.1.2-1
r-cran-nlme	3.1.169-1
r-cran-nnet	7.3-20-1
r-cran-openssl	2.4.2+dfsg-1
r-cran-otel	0.2.0-1
r-cran-pillar	1.11.1+dfsg-1
r-cran-pkgbuild	1.4.8-1
r-cran-pkgconfig	2.0.3-3
r-cran-pkgdown	2.2.0-1
r-cran-pkgkitten	0.2.4-1
r-cran-pkgload	1.5.3-1
r-cran-praise	1.0.0-5
r-cran-prettyunits	1.2.0-2
r-cran-processx	3.9.0-1
r-cran-profvis	0.4.0+dfsg-2
r-cran-promises	1.5.0+dfsg-3
r-cran-ps	1.9.3-1
r-cran-purrr	1.2.2-1
r-cran-r6	2.6.1-2
r-cran-ragg	1.5.2-2
r-cran-rappdirs	0.3.4-2
r-cran-rcmdcheck	1.4.0-5
r-cran-rcpp	1.1.2-1
r-cran-rdtools	0.1.0-1
r-cran-remotes	2.5.0+dfsg-2
r-cran-rlang	1.3.0-1
r-cran-rmarkdown	2.31+dfsg-1
r-cran-roxygen2	8.1.0-1
r-cran-rpart	4.1.27-1
r-cran-rprojroot	2.1.1-3
r-cran-rstudioapi	0.19.0-1
r-cran-rversions	3.0.0-1
r-cran-sass	0.4.10+dfsg-3
r-cran-sessioninfo	1.2.4-1
r-cran-shiny	1.13.0+dfsg-1
r-cran-sourcetools	0.1.7-2-2
r-cran-spatial	7.3-18-1
r-cran-stringi	1.8.9-1
r-cran-survival	3.8-6-1
r-cran-sys	3.4.3-3
r-cran-systemfonts	1.3.2-3
r-cran-testthat	3.3.2-3
r-cran-textshaping	1.0.5-2
r-cran-tibble	3.3.1+dfsg-2
r-cran-tinytex	0.60-1
r-cran-urlchecker	2.0.0-1
r-cran-usethis	3.2.1-1
r-cran-utf8	1.2.6-2
