decision invariants: n=20000 seed=27
9200/20000 trials; elapsed 64.4s; pairs 32226; projected certificates 26644
9300/20000 trials; elapsed 65.0s; pairs 32372; projected certificates 26786
9400/20000 trials; elapsed 65.8s; pairs 32776; projected certificates 27075
9500/20000 trials; elapsed 66.4s; pairs 32946; projected certificates 27270
9600/20000 trials; elapsed 67.1s; pairs 33267; projected certificates 27526
9700/20000 trials; elapsed 67.7s; pairs 33426; projected certificates 27714
9800/20000 trials; elapsed 68.3s; pairs 33698; projected certificates 27937
9900/20000 trials; elapsed 68.8s; pairs 33896; projected certificates 28090
10000/20000 trials; elapsed 69.4s; pairs 34158; projected certificates 28364
10100/20000 trials; elapsed 70.3s; pairs 34628; projected certificates 28833
10200/20000 trials; elapsed 71.0s; pairs 35002; projected certificates 29188
10300/20000 trials; elapsed 71.7s; pairs 35248; projected certificates 29339
10400/20000 trials; elapsed 72.2s; pairs 35380; projected certificates 29523
10500/20000 trials; elapsed 73.0s; pairs 35931; projected certificates 30036
10600/20000 trials; elapsed 73.9s; pairs 36430; projected certificates 30415
10700/20000 trials; elapsed 74.5s; pairs 36719; projected certificates 30715
10800/20000 trials; elapsed 75.1s; pairs 36993; projected certificates 31033
10900/20000 trials; elapsed 75.8s; pairs 37250; projected certificates 31215
11000/20000 trials; elapsed 76.4s; pairs 37473; projected certificates 31395
11100/20000 trials; elapsed 77.0s; pairs 37623; projected certificates 31544
11200/20000 trials; elapsed 77.6s; pairs 37794; projected certificates 31703
11300/20000 trials; elapsed 78.2s; pairs 38041; projected certificates 31934
11400/20000 trials; elapsed 78.8s; pairs 38324; projected certificates 32171
11500/20000 trials; elapsed 79.5s; pairs 38672; projected certificates 32443
11600/20000 trials; elapsed 80.2s; pairs 39218; projected certificates 32886
11700/20000 trials; elapsed 80.8s; pairs 39498; projected certificates 33049
11800/20000 trials; elapsed 81.4s; pairs 39708; projected certificates 33269
11900/20000 trials; elapsed 82.2s; pairs 40051; projected certificates 33506
12000/20000 trials; elapsed 82.8s; pairs 40387; projected certificates 33778
12100/20000 trials; elapsed 83.6s; pairs 40701; projected certificates 34016
12200/20000 trials; elapsed 84.2s; pairs 41038; projected certificates 34315
12300/20000 trials; elapsed 84.8s; pairs 41398; projected certificates 34622
12400/20000 trials; elapsed 85.7s; pairs 42032; projected certificates 35127
12500/20000 trials; elapsed 86.4s; pairs 42550; projected certificates 35628
12600/20000 trials; elapsed 87.2s; pairs 43137; projected certificates 35933
12700/20000 trials; elapsed 87.8s; pairs 43383; projected certificates 36199
12800/20000 trials; elapsed 88.5s; pairs 43769; projected certificates 36498
12900/20000 trials; elapsed 89.1s; pairs 44059; projected certificates 36672
13000/20000 trials; elapsed 89.7s; pairs 44285; projected certificates 36900
13100/20000 trials; elapsed 90.5s; pairs 44835; projected certificates 37229
13200/20000 trials; elapsed 91.1s; pairs 45008; projected certificates 37425
13300/20000 trials; elapsed 91.9s; pairs 45589; projected certificates 38092
13400/20000 trials; elapsed 92.5s; pairs 45899; projected certificates 38370
13500/20000 trials; elapsed 93.3s; pairs 46318; projected certificates 38721
13600/20000 trials; elapsed 94.0s; pairs 46835; projected certificates 39031
13700/20000 trials; elapsed 94.7s; pairs 47054; projected certificates 39236
13800/20000 trials; elapsed 95.4s; pairs 47307; projected certificates 39518
13900/20000 trials; elapsed 96.1s; pairs 47848; projected certificates 40035
14000/20000 trials; elapsed 96.8s; pairs 48239; projected certificates 40422
14100/20000 trials; elapsed 97.4s; pairs 48589; projected certificates 40697
14200/20000 trials; elapsed 98.0s; pairs 48814; projected certificates 40852
14300/20000 trials; elapsed 98.7s; pairs 49072; projected certificates 41112
14400/20000 trials; elapsed 99.4s; pairs 49366; projected certificates 41330
14500/20000 trials; elapsed 99.9s; pairs 49525; projected certificates 41513
14600/20000 trials; elapsed 100.5s; pairs 49749; projected certificates 41741
14700/20000 trials; elapsed 101.1s; pairs 50081; projected certificates 41934
14800/20000 trials; elapsed 101.8s; pairs 50275; projected certificates 42139
14900/20000 trials; elapsed 102.5s; pairs 50557; projected certificates 42359
15000/20000 trials; elapsed 103.3s; pairs 51028; projected certificates 42776
15100/20000 trials; elapsed 103.9s; pairs 51178; projected certificates 42897
15200/20000 trials; elapsed 104.5s; pairs 51357; projected certificates 43157
15300/20000 trials; elapsed 105.2s; pairs 51659; projected certificates 43455
15400/20000 trials; elapsed 105.9s; pairs 52221; projected certificates 44010
15500/20000 trials; elapsed 106.5s; pairs 52698; projected certificates 44354
15600/20000 trials; elapsed 107.2s; pairs 53040; projected certificates 44682
15700/20000 trials; elapsed 107.8s; pairs 53276; projected certificates 44904
15800/20000 trials; elapsed 108.4s; pairs 53471; projected certificates 45172
15900/20000 trials; elapsed 109.0s; pairs 53689; projected certificates 45298
16000/20000 trials; elapsed 109.5s; pairs 54106; projected certificates 45643
16100/20000 trials; elapsed 110.4s; pairs 54642; projected certificates 45993
16200/20000 trials; elapsed 111.2s; pairs 55170; projected certificates 46623
16300/20000 trials; elapsed 112.0s; pairs 55709; projected certificates 47035
16400/20000 trials; elapsed 112.8s; pairs 56280; projected certificates 47460
16500/20000 trials; elapsed 113.7s; pairs 57078; projected certificates 48026
16600/20000 trials; elapsed 114.4s; pairs 57335; projected certificates 48260
16700/20000 trials; elapsed 115.1s; pairs 57674; projected certificates 48542
