"id","kind","line","expression","evaluations"
364,"if",611,"if (rowsum <= 1) {     ousr = on_updated_subset_relations(meta_idx_inner, meta_idx_outer, FALSE)     if (is.null(ousr))          break     if (ousr)          return(return_entries(FALSE))     if (eliminated[[clause_idx_inner]] || is_unit[[clause_idx_inner]])          next }",14176
365,"if",613,"if (is.null(ousr)) break",4343
366,"if",614,"if (ousr) return(return_entries(FALSE))",3557
367,"if",615,"if (eliminated[[clause_idx_inner]] || is_unit[[clause_idx_inner]]) next",3556
368,"||",615,"eliminated[[clause_idx_inner]] || is_unit[[clause_idx_inner]]",7049
369,"[[",615,"eliminated[[clause_idx_inner]]",3556
370,"[[",615,"is_unit[[clause_idx_inner]]",3493
371,"[",618,"not_subset_count[meta_idx_outer, meta_idx_inner]",13326
372,"if",619,"if (rowsum <= 1) {     ousr = on_updated_subset_relations(meta_idx_outer, meta_idx_inner, FALSE)     if (identical(ousr, TRUE))          return(return_entries(FALSE))     if (eliminated[[clause_idx]] || is_unit[[clause_idx]])          break     if (is.null(ousr))          next }",13326
373,"if",621,"if (identical(ousr, TRUE)) return(return_entries(FALSE))",1362
374,"if",622,"if (eliminated[[clause_idx]] || is_unit[[clause_idx]]) break",1361
375,"||",622,"eliminated[[clause_idx]] || is_unit[[clause_idx]]",2716
376,"[[",622,"eliminated[[clause_idx]]",1361
377,"[[",622,"is_unit[[clause_idx]]",1355
378,"if",623,"if (is.null(ousr)) next",1355
379,"[",634,"eliminated[available]",2257
380,"[",634,"is_unit[available]",2257
381,"[",635,"second_order_enabled_matrix[meta_disabled, ]",2257
382,"[",636,"second_order_enabled_matrix[, meta_disabled]",2257
383,"[",642,"sse_to_trigger[sse_idx, 1L]",9867
384,"[",643,"sse_to_trigger[sse_idx, 2L]",9867
385,"if",644,"if (eliminated[[available[[meta_idx]]]] || is_unit[[available[[meta_idx]]]] || eliminated[[available[[meta_idx_other]]]] || is_unit[[available[[meta_idx_other]]]]) next",9867
386,"||",644,"eliminated[[available[[meta_idx]]]] || is_unit[[available[[meta_idx]]]] || eliminated[[available[[meta_idx_other]]]] || is_unit[[available[[meta_idx_other]]]]",19283
387,"||",644,"eliminated[[available[[meta_idx]]]] || is_unit[[available[[meta_idx]]]] || eliminated[[available[[meta_idx_other]]]]",19436
388,"||",644,"eliminated[[available[[meta_idx]]]] || is_unit[[available[[meta_idx]]]]",19558
389,"[[",644,"eliminated[[available[[meta_idx]]]]",9867
390,"[[",644,"available[[meta_idx]]",9867
391,"[[",644,"is_unit[[available[[meta_idx]]]]",9691
392,"[[",644,"available[[meta_idx]]",9691
393,"[[",644,"eliminated[[available[[meta_idx_other]]]]",9569
394,"[[",644,"available[[meta_idx_other]]",9569
395,"[[",644,"is_unit[[available[[meta_idx_other]]]]",9416
396,"[[",644,"available[[meta_idx_other]]",9416
397,"[",645,"second_order_enabled_matrix[meta_idx, meta_idx_other]",9371
398,"if",646,"if (identical(on_updated_subset_relations(meta_idx, meta_idx_other, TRUE), TRUE)) return(return_entries(FALSE))",9371
399,"[",657,"which(!eliminated)[order(lengths(entries[!eliminated]), decreasing = TRUE)]",2257
400,"[",657,"entries[!eliminated]",2257
401,"[",658,"remaining_entries[seq_len(length(remaining_entries) - length(unit_domains))]",2257
402,"if",659,"if (length(unit_domains)) remaining_entries[seq.int(length(remaining_entries) - length(unit_domains) + 1L, length(remaining_entries))]",2257
403,"[",659,"remaining_entries[seq.int(length(remaining_entries) - length(unit_domains) + 1L, length(remaining_entries))]",1785
404,"[[",663,"entries[[clause_idx]]",5234
405,"[[",666,"available_inverse[[clause_idx]]",5234
406,"[",667,"remaining_nonunit_entries[remaining_nonunit_entries != clause_idx]",5234
407,"[",673,"not_subset_count[available_inverse[remaining_other_entries], meta_idx]",5234
408,"[",673,"available_inverse[remaining_other_entries]",5234
409,"if",687,"if (is.na(hla_clause_idx)) break",9973
410,"[[",688,"remaining_other_entries[[hla_clause_idx]]",4911
411,"[[",689,"available_inverse[[clause_idx_other]]",4911
412,"[",690,"colnames(is_not_subset_of[[meta_idx_other]])[is_not_subset_of[[meta_idx_other]][meta_idx, ]]",4911
413,"[[",690,"is_not_subset_of[[meta_idx_other]]",4911
414,"[",690,"is_not_subset_of[[meta_idx_other]][meta_idx, ]",4911
415,"[[",690,"is_not_subset_of[[meta_idx_other]]",4911
416,"[[",691,"clause[[symbol]]",4911
417,"[[",693,"universe[[symbol]]",4911
418,"[[",693,"entries[[clause_idx_other]][[symbol]]",4911
419,"[[",693,"entries[[clause_idx_other]]",4911
420,"if",694,"if (length(range_new) == length(universe[[symbol]])) {     eliminate_clause_update_sr(clause_idx)     remaining_nonunit_entries = remaining_other_entries     break }",4911
421,"[[",694,"universe[[symbol]]",4911
422,"[",705,"available_inverse[symbol_registry[[symbol]]]",4911
423,"[[",705,"symbol_registry[[symbol]]",4911
424,"if",707,"if (is_not_subset_of[[updating_clause_meta_idx]][meta_idx, symbol] && all(entries[[available[[updating_clause_meta_idx]]]][[symbol]] %in% range_new)) {     is_not_subset_of[[updating_clause_meta_idx]][meta_idx, symbol] = FALSE     roe_idx = match(available[[updating_clause_meta_idx]], remaining_other_entries)     not_subset_count_current[[roe_idx]] = not_subset_count_current[[roe_idx]] - 1L     if (not_subset_count_current[[roe_idx]] == 0L) {         eliminate_clause_update_sr(clause_idx)         remaining_nonunit_entries = remaining_other_entries         break     } }",19428
425,"&&",707,"is_not_subset_of[[updating_clause_meta_idx]][meta_idx, symbol] && all(entries[[available[[updating_clause_meta_idx]]]][[symbol]] %in% range_new)",35763
426,"[",707,"is_not_subset_of[[updating_clause_meta_idx]][meta_idx, symbol]",19428
427,"[[",707,"is_not_subset_of[[updating_clause_meta_idx]]",19428
428,"[[",708,"entries[[available[[updating_clause_meta_idx]]]][[symbol]]",16335
429,"[[",708,"entries[[available[[updating_clause_meta_idx]]]]",16335
430,"[[",708,"available[[updating_clause_meta_idx]]",16335
431,"[",709,"is_not_subset_of[[updating_clause_meta_idx]][meta_idx, symbol]",3254
432,"[[",709,"is_not_subset_of[[updating_clause_meta_idx]]",3254
433,"[[",710,"available[[updating_clause_meta_idx]]",3254
434,"[[",711,"not_subset_count_current[[roe_idx]]",3254
435,"[[",711,"not_subset_count_current[[roe_idx]]",3254
436,"if",712,"if (not_subset_count_current[[roe_idx]] == 0L) {     eliminate_clause_update_sr(clause_idx)     remaining_nonunit_entries = remaining_other_entries     break }",3254
437,"[[",712,"not_subset_count_current[[roe_idx]]",3254
438,"if",720,"if (eliminated[[clause_idx]]) break",4911
439,"[[",720,"eliminated[[clause_idx]]",4911
440,"[[",721,"was_used[[hla_clause_idx]]",4739
441,"[[",722,"clause[[symbol]]",4739
442,"[[",732,"entries[[clause_idx]]",3803
443,"[",738,"entries[remaining_nonunit_entries]",3803
444,"[[",738,"symbol_registry[[unitsymbol]]",3803
445,"if",746,"if (is.na(hla_clause_idx)) break",4823
446,"[[",747,"remaining_nonunit_entries[[hla_clause_idx]]",1078
447,"[[",748,"entries[[clause_idx_other]]",1078
448,"if",749,"if (is.null(is_not_subset_of_unit[[hla_clause_idx]])) {     is_not_subset_of_unit[[hla_clause_idx]] = structure(names(clause_other) != unitsymbol, names = names(clause_other)) }",1078
449,"[[",749,"is_not_subset_of_unit[[hla_clause_idx]]",1078
450,"[[",750,"is_not_subset_of_unit[[hla_clause_idx]]",756
451,"[[",752,"is_not_subset_of_unit[[hla_clause_idx]]",1078
452,"[",753,"names(is_not_subset_entry)[is_not_subset_entry]",1078
453,"[[",754,"clause[[symbol]]",1078
454,"[[",755,"universe[[symbol]]",1078
455,"[[",755,"clause_other[[symbol]]",1078
456,"if",756,"if (length(range_new) == length(universe[[symbol]])) {     eliminated[[clause_idx]] = TRUE     break }",1078
457,"[[",756,"universe[[symbol]]",1078
458,"[[",759,"eliminated[[clause_idx]]",0
459,"[[",763,"symbol_registry[[symbol]]",1078
460,"[[",764,"roe_inverse[[updating_clause_idx]]",2868
461,"if",765,"if (is.null(is_not_subset_of_unit[[updating_hla_clause_idx]])) {     updating_clause = entries[[updating_clause_idx]]     is_not_subset_of_unit[[updating_hla_clause_idx]] = structure(names(updating_clause) != unitsymbol, names = names(updating_clause)) }",2868
462,"[[",765,"is_not_subset_of_unit[[updating_hla_clause_idx]]",2868
463,"[[",768,"entries[[updating_clause_idx]]",1190
464,"[[",769,"is_not_subset_of_unit[[updating_hla_clause_idx]]",1190
465,"if",771,"if (is_not_subset_of_unit[[updating_hla_clause_idx]][[symbol]] && all(entries[[updating_clause_idx]][[symbol]] %in% range_new)) {     is_not_subset_of_unit[[updating_hla_clause_idx]][[symbol]] = FALSE     not_subset_count[[updating_hla_clause_idx]] = not_subset_count[[updating_hla_clause_idx]] - 1L     if (not_subset_count[[updating_hla_clause_idx]] == 0) {         eliminated[[clause_idx]] = TRUE         break     } }",2868
466,"&&",771,"is_not_subset_of_unit[[updating_hla_clause_idx]][[symbol]] && all(entries[[updating_clause_idx]][[symbol]] %in% range_new)",5666
467,"[[",771,"is_not_subset_of_unit[[updating_hla_clause_idx]][[symbol]]",2868
468,"[[",771,"is_not_subset_of_unit[[updating_hla_clause_idx]]",2868
469,"[[",772,"entries[[updating_clause_idx]][[symbol]]",2798
470,"[[",772,"entries[[updating_clause_idx]]",2798
471,"[[",773,"is_not_subset_of_unit[[updating_hla_clause_idx]][[symbol]]",514
472,"[[",773,"is_not_subset_of_unit[[updating_hla_clause_idx]]",514
473,"[[",774,"not_subset_count[[updating_hla_clause_idx]]",514
474,"[[",774,"not_subset_count[[updating_hla_clause_idx]]",514
475,"if",775,"if (not_subset_count[[updating_hla_clause_idx]] == 0) {     eliminated[[clause_idx]] = TRUE     break }",514
476,"[[",775,"not_subset_count[[updating_hla_clause_idx]]",514
477,"[[",777,"eliminated[[clause_idx]]",58
478,"if",782,"if (eliminated[[clause_idx]]) break",1078
479,"[[",782,"eliminated[[clause_idx]]",1078
480,"[[",783,"was_used[[hla_clause_idx]]",1020
481,"[[",784,"clause[[symbol]]",1020
482,"[",788,"entries[!eliminated]",2257
